"A","1C","61"
"B","32","62"
"C","21","63"
"D","23","64"
"E","24","65"
"F","2B","66"
"G","34","67"
"H","33","68"
"I","43","69"
"J","3B","6A"
"K","42","6B"
"L","4B","6C"
"M","3A","6D"
"N","31","6E"
"O","44","6F"
"P","4D","70"
"Q","15","71"
"R","2D","72"
"S","1B","73"
"T","2C","74"
"U","3C","75"
"V","2A","76"
"W","1D","77"
"X","22","78"
"Y","35","79"
"Z","1A","7A"
"0","45","30"
"1","16","31"
"2","1E","32"
"3","26","33"
"4","25","34"
"5","2E","35"
"6","36","36"
"7","3D","37"
"8","3E","38"
"9","46","39"
"F1","05","C2"
"F2","06","C3"
"F3","04","C4"
"F4","0C","C5"
"F5","03","C6"
"F6","0B","C7"
"F7","83","C8"
"F8","0A","C9"
"F9","01","CA"
"F10","09","CB"
"F11","78","CC"
"F12","07","CD"
"` til","0E","60"
"- dash","4E","2D"
"= equal","55","3D"
"[ L square bracket","54","5B"
"] R square bracket","5B","5D"
"; semi colon","4C","3B"
"' apostrophe","52","27"
", comma","41","2C"
".period","49","2E"
"/ F slash","4A","2F"
"\ B slash","5D","5C"
"escape","76","B1"
"tab","0D","B3"
"capslock","58","C1"
"L control","14","80"
"L shift","12","81"
"L alt","11","82"
"R shift","59","85"
"space","29","20"
"enter","5A","B0"
"backspace","66","B2"
"scroll lock","7E","CF"
"num lock","77","DB"
"kp * star","7C","DD"
"kp â€“ dash","7B","DE"
"kp + plus","79","DF"
"Kp 1","69","E1"
"Kp 2","72","E2"
"Kp 3","7A","E3"
"Kp 4","6B","E4"
"Kp 5","73","E5"
"Kp 6","74","E6"
"Kp 7","6C","E7"
"Kp 8","75","E8"
"Kp 9","7D","E9"
"Kp 0","70","EA"
"Kp . period","71","EB"
